Country	NOC	ISO	GDP	
Afghanistan	AFG	AFG	20343460	
Albania	ALB	ALB	12959560	
Algeria	ALG	DZA	188681000	
Andorra	AND	AND	3491000	
Angola	ANG	AGO	100990000	
Antigua and Barbuda	ANT	ATG	1128710	
Argentina	ARG	ARG	445989000	
Armenia	ARM	ARM	10247790	
Australia	AUS	AUS	1371760000	
Austria	AUT	AUT	418484000	
Azerbaijan	AZE	AZE	63403650	
Bahamas	BAH	BHS	7787510	
Bahrain	BRN	BHR	22945000	
Bangladesh	BAN	BGD	110612000	
Barbados	BAR	BRB	3685000	
Belarus	BLR	BLR	55136140	
Belgium	BEL	BEL	511533000	
Belize	BIZ	BLZ	1474000	
Benin	BEN	BEN	7294870	
Bermuda	BER	BMU	6015000	
Bhutan	BHU	BTN	1688940	
Bolivia	BOL	BOL	24426830	
Bosnia and Herzegovina	BIH	BIH	18088240	
Botswana	BOT	BWA	17627440	
Brazil	BRA	BRA	2476650000	
Bulgaria	BUL	BGR	53514100	
Burkina Faso	BUR	BFA	10187210	
Burundi	BDI	BDI	2325970	
Cambodia	CAM	KHM	12875310	
Cameroon	CMR	CMR	25464850	
Canada	CAN	CAN	1736050000	
Cape Verde	CPV	CPV	1901140	
Central African Republic	CAF	CAF	2165870	
Chad	CHA	TCD	9485740	
Chile	CHI	CHL	248585000	
China	CHN	CHN	7298100000	
Colombia	COL	COL	331655000	
Comoros	COM	COM	610110	
Cook Islands	COK	COK	248000	
Costa Rica	CRC	CRI	41006960	
Croatia	CRO	HRV	63850070	
Cuba	CUB	CUB	64100000	
Cyprus	CYP	CYP	24689600	
Czech Republic	CZE	CZE	215215000	
Denmark	DEN	DNK	332677000	
Djibouti	DJI	DJI	1140000	
Dominica	DMA	DMA	482280	
Dominican Republic	DOM	DOM	55611250	
Ecuador	ECU	ECU	67002770	
Egypt	EGY	EGY	229531000	
El Salvador	ESA	SLV	23054100	
Equatorial Guinea	GEQ	GNQ	19789800	
Eritrea	ERI	ERI	2608720	
Estonia	EST	EST	22184720	
Ethiopia	ETH	ETH	31708850	
Fiji	FIJ	FJI	3812750	
Finland	FIN	FIN	266071000	
France	FRA	FRA	2773030000	
Gabon	GAB	GAB	17051620	
Gambia	GAM	GMB	1109310	
Georgia	GEO	GEO	14366570	
Germany	GER	DEU	3570560000	
Ghana	GHA	GHA	39199660	
Greece	GRE	GRC	298734000	
Grenada	GRN	GRD	816050	
Guatemala	GUA	GTM	46900000	
Guinea	GUI	GIN	5131220	
Guinea-Bissau	GBS	GNB	973430	
Guyana	GUY	GUY	2260000	
Haiti	HAI	HTI	7346160	
Honduras	HON	HND	17259410	
Hungary	HUN	HUN	140029000	
Iceland	ISL	ISL	14059070	
India	IND	IND	1847980000	
Indonesia	INA	IDN	846832000	
Iraq	IRQ	IRQ	115388000	
Ireland	IRL	IRL	217275000	
Israel	ISR	ISR	242929000	
Italy	ITA	ITA	2194750000	
Jamaica	JAM	JAM	15069770	
Japan	JPN	JPN	5867150000	
Jordan	JOR	JOR	28840200	
Kazakhstan	KAZ	KAZ	186198000	
Kenya	KEN	KEN	33620680	
Kiribati	KIR	KIR	177960	
Kuwait	KUW	KWT	176590000	
Kyrgyzstan	KGZ	KGZ	5918610	
Latvia	LAT	LVA	28252500	
Lebanon	LIB	LBN	42185230	
Lesotho	LES	LSO	2426200	
Liberia	LBR	LBR	1161000	
Lithuania	LTU	LTU	42725400	
Luxembourg	LUX	LUX	59474580	
Macedonia	MKD	MKD	10165370	
Madagascar	MAD	MDG	9947000	
Malawi	MAW	MWI	5700380	
Malaysia	MAS	MYS	278671000	
Maldives	MDV	MDV	2050140	
Mali	MLI	MLI	10589930	
Malta	MLT	MLT	8886570	
Marshall Islands	MHL	MHL	173700	
Mauritania	MTN	MRT	4075680	
Mauritius	MRI	MUS	11313460	
Mexico	MEX	MEX	1155320000	
Moldova	MDA	MDA	7000320	
Monaco	MON	MCO	5424000	
Mongolia	MGL	MNG	8557530	
Montenegro	MNE	MNE	4550460	
Morocco	MAR	MAR	100221000	
Mozambique	MOZ	MOZ	12797750	
Namibia	NAM	NAM	12300700	
Nauru	NRU	NRU	63000	
Nepal	NEP	NPL	18884500	
Netherlands	NED	NLD	836257000	
New Zealand	NZL	NZL	141406000	
Nicaragua	NCA	NIC	7297480	
Niger	NIG	NER	6016960	
Nigeria	NGR	NGA	235923000	
Norway	NOR	NOR	485803000	
Oman	OMA	OMN	71781540	
Pakistan	PAK	PAK	211092000	
Palau	PLW	PLW	179910	
Panama	PAN	PAN	30676800	
Papua New Guinea	PNG	PNG	12937180	
Paraguay	PAR	PRY	23877090	
Peru	PER	PER	176662000	
Philippines	PHI	PHL	224754000	
Poland	POL	POL	514496000	
Portugal	POR	PRT	237522000	
Puerto Rico	PUR	PRI	99202000	
Qatar	QAT	QAT	172982000	
Romania	ROU	ROU	179794000	
Russia	RUS	RUS	1857770000	
Rwanda	RWA	RWA	6377410	
Saint Kitts and Nevis	SKN	KNA	708960	
Saint Lucia	LCA	LCA	1232180	
Saint Vincent and the Grenadines	VIN	VCT	687990	
Samoa	SAM	WSM	649420	
San Marino	SMR	SMR	1487000	
Sao Tome and Principe	STP	STP	248290	
Saudi Arabia	KSA	SAU	576824000	
Senegal	SEN	SEN	14291460	
Serbia	SRB	SRB	45043430	
Seychelles	SEY	SYC	1007190	
Sierra Leone	SLE	SLE	2242960	
Singapore	SIN	SGP	239700000	
Slovakia	SVK	SVK	95994150	
Slovenia	SLO	SVN	49539270	
Solomon Islands	SOL	SLB	838020	
Somalia	SOM	SOM	1071000	
South Africa	RSA	ZAF	408237000	
Spain	ESP	ESP	1490810000	
Sri Lanka	SRI	LKA	59172140	
Sudan	SUD	SDN	55097400	
Swaziland	SWZ	SWZ	3977750	
Sweden	SWE	SWE	538131000	
Switzerland	SUI	CHE	635650000	
Syria	SYR	SYR	59834000	
Taiwan	TPE	TWN	876035000	
Tajikistan	TJK	TJK	6522200	
Tanzania	TAN	TZA	23705300	
Thailand	THA	THA	345649000	
Togo	TOG	TGO	3594510	
Tonga	TGA	TON	435590	
Trinidad and Tobago	TRI	TTO	22483120	
Tunisia	TUN	TUN	45863810	
Turkey	TUR	TUR	773091000	
Turkmenistan	TKM	TKM	24107020	
Tuvalu	TUV	TUV	35780	
Uganda	UGA	UGA	16809620	
Ukraine	UKR	UKR	165245000	
United Arab Emirates	UAE	ARE	360245000	
Uruguay	URU	URY	46709800	
Uzbekistan	UZB	UZB	45359430	
Vanuatu	VAN	VUT	819230	
Venezuela	VEN	VEN	316482000	
Vietnam	VIE	VNM	123961000	
Yemen	YEM	YEM	33757500	
Zambia	ZAM	ZMB	19206010	
Zimbabwe	ZIM	ZWE	9900000	
