Country	NOC	NOP	Nursing_Midwifes	Pharmaceutical
Afghanistan	AFG	5970	14930	900
Albania	ALB	3626	14637	1173
Algeria	ALG	35368	69749	6333
Andorra	AND	244	259	72
Angola	ANG	1165	18977	919
Antigua and Barbuda	ANT	12	233	0
Argentina	ARG	108800	29000	15300
Armenia	ARM	11133	14806	157
Australia	AUS	47875	187837	13956
Austria	AUT	30068	53782	5076
Azerbaijan	AZE	30766	71265	1074
Bahamas	BAH	312	1323	0
Bahrain	BRN	1980	4410	460
Bangladesh	BAN	42881	39471	9411
Barbados	BAR	322	988	0
Belarus	BLR	46359	121357	2930
Belgium	BEL	44124	146846	11775
Belize	BIZ	251	303	0
Benin	BEN	311	5789	11
Bhutan	BHU	52	730	87
Bolivia	BOL	10329	18091	4670
Bosnia and Herzegovina	BIH	5540	18332	308
Botswana	BOT	715	4753	333
Brazil	BRA	198153	659111	51317
Brunei	BRU	400	2120	30
Bulgaria	BUL	28111	35028	1020
Burkina Faso	BUR	708	6557	343
Burundi	BDI	200	1348	76
Cambodia	CAM	2047	11125	564
Cameroon	CMR	3124	26042	700
Canada	CAN	62307	327224	27078
Cape Verde	CPV	231	410	43
Central African Republic	CAF	331	1613	17
Chad	CHA	345	2499	37
Chile	CHI	17250	10000	0
China	CHN	1862630	1301240	351620
Colombia	COL	58761	23940	0
Comoros	COM	115	588	41
Congo-Brazzaville	CBV	756	3672	99
Cook Islands	CI	20	80	2
Costa Rica	COK	5204	3653	2101
Cote d'Ivoire	CRC	2081	10180	1015
Croatia	CRO	11250	24872	2549
Cuba	CUB	66567	83880	0
Cyprus	CYP	1950	3361	160
Czech Republic	CZE	36595	91120	5842
Democratic Republic of Congo	CON	5827	28789	1200
Denmark	DEN	19287	54073	3564
Djibouti	DJI	140	296	18
Dominica	DMA	38	317	0
Dominican Republic	DOM	15670	15352	3330
Ecuador	ECU	18335	20586	0
Egypt	EGY	179900	249787	92540
El Salvador	ESA	7938	5103	0
Equatorial Guinea	GEQ	153	271	121
Eritrea	ERI	215	2505	107
Estonia	EST	4414	9247	869
Ethiopia	ETH	1936	15544	1343
Fiji	FIJ	380	1660	90
Finland	FIN	17357	46930	5829
France	FRA	207277	486006	69431
Gabon	GAB	395	6778	63
Gambia	GAM	156	1881	48
Georgia	GEO	20597	17871	257
Germany	GER	284427	662000	46953
Ghana	GHA	3240	19707	1388
Greece	GRE	55556	40000	8977
Grenada	GRN	80	326	69
Guatemala	GUA	9965	44986	0
Guinea	GUI	987	4408	530
Guinea-Bissau	GBS	188	1072	40
Guyana	GUY	366	1738	0
Haiti	HAI	1949	834	0
Honduras	HON	3676	8528	926
Hungary	HUN	30575	92171	5364
Iceland	ISL	1120	2960	312
India	IND	645825	1372059	559408
Indonesia	INA	29499	179959	7580
Iran	IRA	61870	111107	13900
Iraq	IRQ	19010	38001	3170
Ireland	IRL	12394	81901	3565
Israel	ISR	25138	42609	4958
Italy	ITA	215000	419523	44000
Jamaica	JAM	2253	4374	0
Japan	JPN	270371	1210633	241369
Jordan	JOR	13460	18439	7360
Kazakhstan	KAZ	57514	113098	14048
Kenya	KEN	4506	37113	3094
Kiribati	KIR	20	260	2
Kuwait	KUW	4840	9940	1340
Kyrgyzstan	KYR	12710	30824	143
Laos	LAO	2000	5600	0
Latvia	KGZ	7200	12840	0
Lebanon	LEB	8440	4720	3000
Lesotho	LAT	89	1123	62
Liberia	LIB	103	1035	35
Libya	LES	7070	27160	1130
Lithuania	LIT	13510	26140	2184
Luxembourg	LUX	1255	4418	401
Macedonia	MAC	5187	8833	908
Madagascar	MAD	5201	5661	175
Malawi	MKD	266	7264	0
Malaysia	MAS	17020	43380	2880
Maldives	MDV	302	886	241
Mali	MLI	1053	8338	351
Malta	MLT	1564	2411	790
Marshall Islands	MHL	24	152	2
Mauritania	MTN	313	1893	81
Mauritius	MRI	1303	4604	1428
Mexico	MEX	195897	88678	3189
Micronesia	MIC	60	250	20
Moldova	MDA	11153	26029	2834
Monaco	MON	186	464	61
Mongolia	MGL	6732	8826	1093
Montenegro	MNE	1233	3436	111
Morocco	MAR	15991	24328	7366
Mozambique	MOZ	514	6183	618
Myanmar	MYA	17791	49341	127
Namibia	NAM	598	6145	288
Nauru	NRU	10	63	10
Nepal	NEP	5384	11825	358
Netherlands	NED	60519	239172	2842
New Zealand	NZL	8190	34538	3920
Nicaragua	NCA	2045	5862	0
Niger	NIG	296	2818	20
Nigeria	NGR	34923	210306	6344
Niue	NIU	4	22	1
North Korea	RNK	74597	93414	13497
Norway	NOR	17523	75326	3046
Oman	OMA	4290	9516	770
Pakistan	PAK	126350	70698	8102
Palau	PAL	30	121	1
Panama	PAN	4431	8158	2526
Papua New Guinea	PNG	275	2841	0
Paraguay	PAR	6355	10261	1868
Peru	PER	29799	17108	0
Philippines	PHI	90370	480910	46360
Poland	POL	76046	199622	21971
Portugal	PUR	36138	48979	10320
Qatar	QAT	2150	4880	1100
Romania	ROU	41455	90698	901
Russia	RUS	614183	1214292	11521
Rwanda	RWA	432	3647	278
Saint Kitts and Nevis	SKN	46	198	21
Saint Lucia	LCA	749	331	0
Saint Vincent and the Grenadines	VIN	89	447	0
Samoa	SAM	50	310	20
San Marino	SMR	1089	2196	23
Sao Tome and Principe	STP	81	308	24
Saudi Arabia	KSA	34261	74114	5485
Senegal	SEN	594	3287	85
Serbia	SRB	19581	42234	1884
Seychelles	SEY	121	634	61
Sierra Leone	SLE	168	2510	340
Singapore	SIN	6380	19090	1280
Slovakia	SVK	16868	35757	2637
Slovenia	SLO	4723	15711	905
Solomon Islands	SOL	60	653	28
Somalia	SOM	310	1486	8
South Africa	SHA	34829	184459	12521
South Korea	RSA	75045	92061	50623
Spain	ESP	135300	328891	39900
Sri Lanka	SRI	10479	33233	990
Sudan	SUD	11083	33354	1531
Surinam	SUR	191	688	0
Swaziland	SWZ	171	6828	70
Sweden	SWE	29190	97005	5885
Switzerland	SUI	28812	79153	4269
Syria	SYR	10342	27288	89
Tajikistan	TJK	13267	33165	680
Tanzania	TAN	822	13292	365
Thailand	THA	22435	172477	15480
Timor-Leste	TLR	79	1795	14
Togo	TOG	225	1937	134
Tonga	TGA	30	350	4
Trinidad and Tobago	TRI	1004	3653	0
Tunisia	TUN	13330	28537	2909
Turkey	TUR	116014	217685	24740
Turkmenistan	TKM	12210	23026	926
Tuvalu	TUV	10	50	2
Uganda	UGA	2209	18969	688
UK	UKR	133641	740731	29726
Ukraine	UAE	143728	388444	22257
United Arab Emirates		4960	10340	1200
Uruguay	URU	12384	2880	0
US	USA	730801	2669603	249642
Uzbekistan	UZB	70564	290162	828
Vanuatu	VAN	30	360	0
Venezuela	VEN	48000	28000	0
Vietnam	VIE	44960	61810	24080
Yemen	YEM	6739	13746	2638
Zambia	ZAM	1264	22010	1039
Zimbabwe	ZIM	2086	9357	883
