Country	NOC	ISO	HealthP	Total_income
Afghanistan	AFG	AFG	28	0
Albania	ALB	ALB	36	4790
Algeria	ALG	DZA	77	69700
Andorra	AND	AND	71	0
Angola	ANG	AGO	87	14900
Antigua and Barbuda	ANT	ATG	67	830
Argentina	ARG	ARG	46	314000
Armenia	ARM	ARM	41	3400
Australia	AUS	AUS	67	468000
Austria	AUT	AUT	77	209000
Azerbaijan	AZE	AZE	31	9930
Bahamas	BAH	BHS	51	4940
Bahrain	BRN	BHR	66	10600
Bangladesh	BAN	BGD	37	61400
Barbados	BAR	BRB	63	0
Belarus	BLR	BLR	75	18300
Belgium	BEL	BEL	71	249000
Belize	BIZ	BLZ	60	1080
Benin	BEN	BEN	53	2730
Bhutan	BHU	BTN	69	644
Bolivia	BOL	BOL	63	9740
Bosnia and Herzegovina	BIH	BIH	57	6440
Botswana	BOT	BWA	77	8050
Brazil	BRA	BRA	48	738000
Brunei	BRN	BRN	80	4830
Bulgaria	BUL	BGR	60	16400
Burkina Faso	BUR	BFA	57	3430
Burundi	BDI	BDI	25	790
Cambodia	CAM	KHM	26	5680
Cameroon	CMR	CMR	28	12100
Canada	CAN	CAN	70	810000
Cape Verde	CPV	CPV	82	681
Central African Republic	CAF	CAF	36	918
Chad	CHA	TCD	36	2790
Chile	CHI	CHL	53	92500
China	CHN	CHN	42	1890000
Colombia	COL	COL	85	98800
Comoros	COM	COM	56	232
Congo-Brazzaville	CBZ	CBZ	41	3980
Cook Islands	COK	COK	91	0
Costa Rica	CRC	CRI	76	19500
Cote d'Ivoire	IVC	IVC	23	10200
Croatia	CRO	HRV	80	23200
Cuba	CUB	CUB	91	0
Cyprus	CYP	CYP	45	10300
Czech Republic	CZE	CZE	88	67800
Democratic Republic of Congo			37	5240
Denmark	DEN	DNK	84	171000
Djibouti	DJI	DJI	75	633
Dominica	DMA	DMA	65	282
Dominican Republic	DOM	DOM	31	23400
Ecuador	ECU	ECU	44	20500
Egypt	EGY	EGY	41	120000
El Salvador	ESA	SLV	59	14600
Equatorial Guinea	GEQ	GNQ	78	3790
Eritrea	ERI	ERI	37	757
Estonia	EST	EST	74	8360
Ethiopia	ETH	ETH	60	10400
Fiji	FIJ	FJI	71	1860
Finland	FIN	FIN	79	135000
France	FRA	FRA	80	1430000
French Polynesia	FPN	FPN	0	3450
Gabon	GAB	GAB	79	5520
Gambia	GAM	GMB	58	509
Georgia	GEO	GEO	22	4340
Germany	GER	DEU	77	1970000
Ghana	GHA	GHA	37	6360
Greece	GRE	GRC	43	142000
Grenada	GRN	GRD	65	414
Guatemala	GUA	GTM	38	21900
Guinea	GUI	GIN	12	3620
Guinea-Bissau	GBS	GNB	25	213
Guyana	GUY	GUY	85	736
Haiti	HAI	HTI	68	3740
Honduras	HON	HND	48	7100
Hong Kong	HKG	HKG	0	208000
Hungary	HUN	HUN	71	59300
Iceland	ISL	ISL	83	10400
India	IND	IND	20	644000
Indonesia	INA	IDN	50	208000
Iran	IRA	IRA	56	133000
Iraq	IRQ	IRQ	73	19100
Ireland	IRL	IRL	78	125000
Israel	ISR	ISR	65	127000
Italy	ITA	ITA	77	1130000
Jamaica	JAM	JAM	53	8740
Japan	JPN	JPN	82	4990000
Jordan	JOR	JOR	42	11400
Kazakhstan	KAZ	KAZ	65	30000
Kenya	KEN	KEN	48	15200
Kiribati	KIR	KIR	92	52
Kuwait	KUW	KWT	79	52200
Kyrgyzstan	KGZ	KGZ	43	1650
Laos	LAO	LAO	21	2350
Latvia	LAT	LVA	63	11600
Lebanon	LIB	LBN	47	20500
Lesotho	LES	LSO	62	982
Liberia	LBR	LBR	64	444
Libya	LIB	LIB	70	40400
Lithuania	LTU	LTU	70	16600
Luxembourg	LUX	LUX	91	23800
Macau	MAC	MAC	0	10400
Macedonia	MKD	MKD	72	3840
Madagascar	MAD	MDG	63	4340
Malawi	MAW	MWI	72	1990
Malaysia	MAS	MYS	45	112000
Maldives	MDV	MDV	84	798
Mali	MLI	MLI	52	3290
Malta	MLT	MLT	78	3880
Marshall Islands	MHL	MHL	97	0
Mauritania	MTN	MRT	69	1320
Mauritius	MRI	MUS	50	5470
Mexico	MEX	MEX	43	635000
Micronesia	MIC	MIC	91	0
Moldova	MDA	MDA	56	1810
Monaco	MON	MCO	74	0
Mongolia	MGL	MNG	84	1250
Montenegro	MNE	MNE	80	0
Morocco	MAR	MAR	36	40900
Mozambique	MOZ	MOZ	69	5700
Myanmar	MYA	MYA	17	0
Namibia	NAM	NAM	64	4260
Nauru	NRU	NRU	55	0
Nepal	NEP	NPL	31	6350
Netherlands	NED	NLD	82	403000
New Caledonia	NCA	NCA	0	2680
New Zealand	NZL	NZL	78	62700
Nicaragua	NCA	NIC	55	4580
Niger	NIG	NER	53	2200
Nigeria	NGR	NGA	30	60000
Niue	NU	NU	99	0
North Korea	KP	KP	86	0
Norway	NOR	NOR	84	185000
Oman	OMA	OMN	84	22700
Pakistan	PAK	PAK	16	93200
Palau	PLW	PLW	93	0
Panama	PAN	PAN	69	14300
Papua New Guinea	PNG	PNG	83	3700
Paraguay	PAR	PRY	38	8030
Peru	PER	PER	57	65400
Philippines	PHI	PHL	40	94400
Poland	POL	POL	70	199000
Portugal	POR	PRT	72	116000
Puerto Rico	PUR	PRI	0	64500
Qatar	QAT	QAT	78	0
Romania	ROU	ROU	71	48900
Russia	RUS	RUS	63	350000
Rwanda	RWA	RWA	64	2350
Saint Kitts and Nevis	SKN	KNA	62	387
Saint Lucia	LCA	LCA	56	764
Saint Vincent and the Grenadines	VIN	VCT	63	384
Samoa	SAM	WSM	81	286
San Marino	SMR	SMR	84	0
Sao Tome and Principe	STP	STP	85	0
Saudi Arabia	KSA	SAU	77	229000
Senegal	SEN	SEN	32	5470
Serbia	SRB	SRB	71	0
Seychelles	SEY	SYC	74	563
Sierra Leone	SLE	SLE	49	1200
Singapore	SIN	SGP	34	113000
Slovakia	SVK	SVK	74	25500
Slovenia	SLO	SVN	73	22900
Solomon Islands	SOL	SLB	93	323
Somalia	SOM	SOM	45	0
South Africa	RSA	ZAF	42	161000
South Korea	KOR	KOR	55	639000
Spain	ESP	ESP	73	678000
Sri Lanka	SRI	LKA	49	19800
Sudan	SUD	SDN	37	16700
Surinam	SUR	SUR	42	1150
Swaziland	SWZ	SWZ	62	1560
Sweden	SWE	SWE	81	270000
Switzerland	SUI	CHE	60	259000
Syria	SYR	SYR	48	23600
Tajikistan	TJK	TJK	23	1530
Tanzania	TAN	TZA	59	12500
Thailand	THA	THA	64	157000
Timor-Leste	TLE	TLE	89	0
Togo	TOG	TGO	28	1480
Tonga	TGA	TON	75	167
Trinidad and Tobago	TRI	TTO	54	11900
Tunisia	TUN	TUN	44	24200
Turkey	TUR	TUR	72	246000
Turkmenistan	TKM	TKM	67	2900
Tuvalu	TUV	TUV	92	0
Uganda	UGA	UGA	27	7790
UK	UK	UK	87	1620000
Ukraine	UKR	UKR	55	45200
United Arab Emirates	UAE	ARE	73	104000
Uruguay	URU	URY	44	21600
US	USA	USA	46	11000000
Uzbekistan	UZB	UZB	50	17900
Vanuatu	VAN	VUT	65	256
Venezuela	VEN	VEN	50	133000
Vietnam	VIE	VNM	32	44800
West Bank and Gaza	WBG	WBG	0	3780
Yemen	YEM	YEM	46	11500
Zambia	ZAM	ZMB	47	4090
Zimbabwe	ZIM	ZWE	53	5620
